TEGDMA,h,noz,sub,vf,vs,line,thickness (mm)
25,150,FDTS,film,1.5,5.5,5,
25,150,FDTS,film,1.5,5.5,6,
25,150,FDTS,film,1.5,6.5,7,
25,150,FDTS,film,1.5,6.5,8,
25,150,FDTS,film,1.5,6.5,9,
25,150,FDTS,film,2.5,1.5,1,0.125624066
25,150,FDTS,film,2.5,1.5,2,0.100451902
25,150,FDTS,film,2.5,1.5,3,0.09875414
25,150,FDTS,film,2.5,2.5,4,0.081345109
25,150,FDTS,film,2.5,2.5,5,0.08161741
25,150,FDTS,film,2.5,2.5,6,0.071244547
25,150,FDTS,film,2.5,3.5,7,0.085812569
25,150,FDTS,film,2.5,3.5,8,0.076673508
25,150,FDTS,film,2.5,3.5,9,0.080808942
25,150,FDTS,film,2.5,4.5,1,0.052030531
25,150,FDTS,film,2.5,4.5,2,0.044423324
25,150,FDTS,film,2.5,4.5,3,0.04870961
25,150,FDTS,film,2.5,5.5,4,0.04666079
25,150,FDTS,film,2.5,5.5,5,0.051093422
25,150,FDTS,film,2.5,5.5,6,0.047996323
25,150,FDTS,film,2.5,6.5,7,0.043096544
25,150,FDTS,film,2.5,6.5,8,0.050579558
25,150,FDTS,film,2.5,6.5,9,0.054865858
25,150,FDTS,film,3.5,1.5,1,0.141226951
25,150,FDTS,film,3.5,1.5,2,0.125367455
25,150,FDTS,film,3.5,1.5,3,0.119677862
25,150,FDTS,film,3.5,2.5,4,0.110414791
25,150,FDTS,film,3.5,2.5,5,0.100424518
25,150,FDTS,film,3.5,2.5,6,0.106095724
25,150,FDTS,film,3.5,3.5,7,0.095674421
25,150,FDTS,film,3.5,3.5,8,0.095895138
25,150,FDTS,film,3.5,3.5,9,0.090660844
25,150,FDTS,film,3.5,4.5,1,0.063861651
25,150,FDTS,film,3.5,4.5,2,0.060205398
25,150,FDTS,film,3.5,4.5,3,0.07170088
25,150,FDTS,film,3.5,5.5,4,0.069200319
25,150,FDTS,film,3.5,5.5,5,0.069213419
25,150,FDTS,film,3.5,5.5,6,0.07285991
25,150,FDTS,film,3.5,6.5,7,0.063088618
