TEGDMA,h,noz,sub,vF,vS,critLength,max x,mean x,median x,ster x,max y,mean y,median y,ster y,max x/y,mean x/y,median x/y,ster x/y,max x/max y,mean x/meany,median x/median y,ster x/ster y
20,150,FDTS,film,1.5,4.5,2,4.593283367027311,1.4567478873952715,1.0705046006818921,0.019910182438472757,6.368181709171841,2.5728040817166997,2.501462717581961,0.02316317924342717,1605.9431492589126,3.8809562293111797,0.358971140849686,0.6761646479605881,0.7212864796888233,0.5662101897876571,0.4279514514278651,0.8595617306774721
20,150,FDTS,film,1.5,5.5,2,3.6271475507334086,1.0202366713998594,0.46991873025082287,0.03448217063799054,4.36490954589895,1.9395988567030593,2.173606318092248,0.03155107514202098,5216.402261316231,9.491654133721974,0.18432315025300794,5.627358963387588,0.8309788582311619,0.5260039558561419,0.21619311939765878,1.092900019500946
20,150,FDTS,film,1.5,6.5,2,4.144062488486892,0.7182394147044224,0.5131619273635901,0.024260485057234868,5.7636902465632085,2.9868241902865194,2.624852525168343,0.028297954732047544,0.9382417563879326,0.2232590690148733,0.1710844148639162,0.005884429354775063,0.7189946564109558,0.2404692639895632,0.19550124147667258,0.8573229156296506
20,150,FDTS,film,1.5,1.5,2,6.72434417769837,1.840091466756021,1.5346648096241233,0.009550143208473732,13.661104788583922,6.183445424850024,5.865054587294741,0.019870171166357916,1601.7740598381506,0.6165364217115413,0.28459170106296755,0.09638295888412,0.4922255031172629,0.2975835218600076,0.26166249380672657,0.4806271233658535
20,150,FDTS,film,1.5,2.5,2,5.7740893441816326,2.264344785715968,2.1619157703438754,0.015739212044908496,8.790870559206196,3.3094217959243957,3.0649229012066606,0.01911402853500275,1093.550643982664,1.8216535729694336,0.6157381960846398,0.16702891591767177,0.6568279336265219,0.6842116011034145,0.7053736227729347,0.8234377183274532
20,150,FDTS,film,1.5,3.5,2,5.587338632749091,1.988239656691226,2.046756633453591,0.018363774583024718,5.21542009989255,2.036836058142043,2.2013468890588563,0.01806162582040883,10748.23821093091,6.508462126664222,0.8580939374111022,3.117683651857932,1.0713113278955617,0.97614123077969,0.9297746954950125,1.0167287688063205
20,150,FDTS,film,1.5,7.5,2,8.075021761661116,2.6748454064125657,2.26412653604427,0.014934269020639566,14.630388747095243,4.293383854005172,2.9917828501928443,0.02668618405636809,6880.880920207288,3.5990466857255634,0.6310352928485742,0.4823446145425441,0.5519348734506014,0.6230156672148662,0.7567817082373907,0.5596254971896524
20,150,FDTS,film,1.5,8.5,2,19.48156504636259,3.0866775026112965,2.1379264038872243,0.02596706738845789,9.934484180991127,3.6456926607879834,3.4299751162344934,0.01593814366067217,33880.56109616216,5.8825350262949705,0.6015988971541463,2.2980909869921318,1.9610041841567447,0.8466642116629051,0.6233066804969389,1.6292403896780263
20,150,FDTS,film,1.5,9.5,2,7.912328694996081,2.0683589291539306,1.8082926736066214,0.011005951202428157,21.934893992386364,6.422717845365031,5.6380754852373345,0.031064079847498257,6339.217453767705,2.935772988861138,0.29557889156662415,0.4001524626718948,0.36071880255005845,0.3220379563530985,0.3207287093515211,0.354298316784507
20,150,FDTS,film,1.7,4.5,2,3.2991791312512433,1.3712191651390695,1.2739761485449739,0.01464517135525222,6.777235893249203,2.916629599412209,2.746529763902605,0.021851145298756064,504.5459742085738,0.978901464038335,0.44182869177621326,0.19750953802568189,0.4868030541090582,0.47013826007094367,0.46384938743017773,0.6702244278283179
