frame #,time (s),h (mm),up right noz dist (mm),up right sub dist (mm),up right Si dist (mm),up left noz dist (mm),up left sub dist (mm),up left Si dist (mm),up mid noz dist (mm),up mid sub dist (mm),up mid Si dist (mm),down right noz dist (mm),down right sub dist (mm),down right Si dist (mm),down left noz dist (mm),down left sub dist (mm),down left Si dist (mm),down mid noz dist (mm),down mid sub dist (mm),down mid Si dist (mm),up right outer radius (mm),up right inner radius (mm),up right Laplace pressure (Pa),up left outer radius (mm),up left inner radius (mm),up left Laplace pressure (Pa),up mid outer radius (mm),up mid inner radius (mm),up mid Laplace pressure (Pa),down right outer radius (mm),down right inner radius (mm),down right Laplace pressure (Pa),down left outer radius (mm),down left inner radius (mm),down left Laplace pressure (Pa),down mid outer radius (mm),down mid inner radius (mm),down mid Laplace pressure (Pa),up right to left pressure (Pa),up right to mid pressure (Pa),up left to mid pressure (Pa),down right to left pressure (Pa),down right to mid pressure (Pa),down left to mid pressure (Pa),SL contact angle (deg),BL contact angle (deg),SiL contact angle (deg),SL contact point channel dist (mm),SiL contact point nozzle dist (mm),Laplace pressure upstream to downstream
435,9.584622155161574,0.12973426799954954,0.0376682285627868,0.10351355263839875,0.6765067130191762,0.06974487830446481,0.04455765463747338,0.15332149485585203,0.10547854328285794,0.0249667147430225,0.46893766191404895,0.05163045334314337,0.1575386746664637,-0.013435456852676842,0.04450794459825384,0.00506894461375436,-1.1091431733769364,0.024901440496896538,0.02922601358627774,-1.0209330488900863,-0.4617320858224022,0.18289685919198972,132.83158952835709,-0.12697817927569918,0.18289685919198972,-96.86605210052568,0.2548518717026944,0.18289685919198972,377.8164413873184,-0.21076832656134473,0.18289685919198972,29.08695583806394,1.487934868218945,0.18289685919198972,246.99751125398,1.4356647395146762,0.18289685919198972,247.9819000154501,-229.69764162888276,244.9848518589613,474.68249348784406,217.91055541591606,218.89494417738615,0.9843887614700861,152.6964632522772,1.7725633231734543,65.13085608580693,-0.38596079770323855,0.0481979370830025,348.72948554925443
436,9.60665576931137,0.12977562867376694,0.04013494485215027,0.10108495390154296,0.6765067130191762,0.06453861517212839,0.04676188892578803,0.09385757932314825,0.10691390687661753,0.02450935835738368,0.48723425130872705,0.039217522155999086,0.14441146224768456,-0.027848440438369884,,,,0.00677275928073557,0.07030180241564962,-0.8392684798054341,-0.48190015751468723,0.1828799223812446,136.49838539490244,-0.1466964993353472,0.1828799223812446,-54.25926461995971,0.2014501747564739,0.1828799223812446,419.6823944303747,-0.180277880432749,0.1828799223812446,-3.175088640584549,,0.1828799223812446,,2.9546343514710864,0.1828799223812446,233.59630634028645,-190.75765001486215,283.1840090354723,473.9416590503344,,236.771394980871,,151.9553596414488,1.506565888256075,63.900590100993924,-0.4454247132359423,0.04600932431274793,422.85748307095923
437,9.628689383461166,0.12981698934798422,0.04013494485215027,0.10112631457576023,0.6765067130191762,0.06453861517212839,0.0468032496000053,0.09385757932314825,0.10691390687661753,0.02455071903160095,0.48723425130872705,0.039217522155999086,0.1444528229219018,-0.027848440438369884,,,,0.00677275928073557,0.0703431630898669,-0.8392684798054341,-0.48190015751468723,0.18286300954071488,136.51873119132688,-0.1466964993353472,0.18286300954071488,-54.238918823535286,0.2014501747564739,0.18286300954071488,419.7027402267991,-0.180277880432749,0.18286300954071488,-3.154742844160131,,0.18286300954071488,,2.9546343514710864,0.18286300954071488,233.61665213671088,-190.75765001486218,283.18400903547223,473.9416590503344,,236.771394980871,,151.9553596414488,1.506565888256075,63.900590100993924,-0.4454247132359423,0.04600932431274793,422.85748307095923
438,9.650722997610963,0.1298583500222016,0.08857778918527616,0.04576790590183228,0.5421240194927613,,,,0.10225822177230882,0.030427052986766397,0.5101049880520746,0.0005796834824192752,0.10284885829713729,-0.0628572483006041,,,,0.027528088672803666,0.00670940111974945,-1.4110368983891242,-0.2772117726906582,0.18284612064749656,74.89736814376555,,0.18284612064749656,,4.574147348669521e17,0.18284612064749656,220.02107486632536,-0.1177871308943269,0.18284612064749656,-121.52727336615234,,0.18284612064749656,,2.0653718357282647,0.18284612064749656,239.4994076798522,,145.1237067225598,,,361.02668104600457,,140.51060687171736,1.8719554146315271,50.850088329287956,0.0394349057230269,0.04905462676246237,341.5483482324777
439,9.67275661176076,0.129899710696419,0.08116521099417338,0.0527623236327906,0.5329757247954222,,,,0.1013209204097809,0.0304684136609838,0.49180839865739656,0.016616112006390616,0.08636679079959729,-0.07194021317093134,,,,0.012324399552969217,0.018831527702712535,-1.472307555995592,-0.21671150981717235,0.1828292556787148,34.40286879523469,,0.1828292556787148,,4.574147348669521e17,0.1828292556787148,220.04137057088957,-0.12766971056444235,0.1828292556787148,-95.06860987896484,,0.1828292556787148,,2.8631327177410744,0.1828292556787148,234.0924132454814,,185.63850177565487,,,329.1610231244462,,138.6411038519316,1.784550737996031,48.3734578813039,0.02571246367701834,0.04398445234780153,315.1099804498544
440,9.694790225910557,129.32995375759475,0.05339181274188785,0.08272529849186601,0.574143050933448,,,,0.09325622495087259,0.03858507287361143,0.49180839865739656,,,,,,,,,,-0.35623988588364247,,,,,,-0.5486676741784533,,,,,,,,,,,,,,,,,,144.7311242016181,1.8525683764678094,,-0.006306567763668308,,
441,9.716823840060353,0.12998243204485369,0.08484607502548557,0.046813007319395486,0.48723425130872705,,,,0.09921199234409306,0.03055113500941847,0.4506410725193709,,,,0.09035707605148055,0.011261682867882308,-0.09825660932097215,0.05222733918334035,0.15861408366573845,-0.008959935283106823,-0.26931505724967947,0.1827955974231075,70.70293866096834,,0.1827955974231075,,4.574147348669521e17,0.1827955974231075,220.08188691154143,,0.1827955974231075,,-0.1529643630668333,0.1827955974231075,-42.92054838394418,-0.7826421294057957,0.1827955974231075,168.67908288597258,,149.3789482505731,,,,211.59963126991676,141.8194846413687,1.8685709860526019,26.613985356444164,-0.02002900980967687,0.045908612730552585,51.402804025568855
442,9.73885745421015,0.13002379271907108,0.08968329356264564,0.040837622608256734,0.46436351456537944,,,,0.10260850701375403,0.02601834833496635,0.4277703357760233,,,,0.08562852670527467,0.011110507930709074,-0.19431370364303158,0.05006282843631736,0.15648847622961815,-0.008952362836013104,-0.29592151750169005,0.1827788040906777,84.15389961674741,,0.1827788040906777,,4.574147348669521e17,0.1827788040906777,220.10210757283238,,0.1827788040906777,,-0.4016365000359579,0.1827788040906777,119.9369084527368,-0.908721052628141,0.1827788040906777,175.8310962612208,,135.94820795608496,,,,55.894187808484006,144.94708515152553,2.090219967273794,47.14311309927076,-0.03832559920435495,0.04683578580811277,44.27101131161157
443,9.760891068359948,0.1300651533932885,0.04240027885308491,0.0941788644360633,0.5804496186971163,,,,0.07319743112482309,0.05879432107409461,0.49180839865739656,0.05933879733043188,0.03547052186732021,-0.2334134006422512,,,,0.05933879733043188,0.03547052186732021,-0.2334134006422512,-0.35158786151112653,0.18276203459147605,105.69855770632864,,0.18276203459147605,,2.1748479490360375,0.18276203459147605,238.6201481254277,4.574147348669521e17,0.18276203459147605,220.1223032449011,,0.18276203459147605,,-0.7749895145318174,0.18276203459147605,168.21192349698472,,132.92159041909906,,,-51.91037974791638,,146.66528397403513,2.0804919268780315,57.07895992581323,-0.06577048329637208,0.051549577560294796,18.4978448805266
444,9.782924682509744,0.1301065140675059,0.04062267458768145,0.09623479990604134,0.5850237660457858,,,,0.07542142460005657,0.05613949743084909,0.48266010396005754,0.016202239057818042,0.11839110568313863,-0.09229261199789562,,,,0.07332795167230888,0.013186106023915704,-0.3955761869844905,-0.3895230538683106,0.18274528890277292,116.86232248209562,,0.18274528890277292,,0.8573803389223313,0.18274528890277292,267.06447363370006,-1.7256023946252657,0.18274528890277292,196.82887625103967,,0.18274528890277292,,-1.8547523068389549,0.18274528890277292,198.45224616617995,,150.20215115160443,,,1.6233699151402732,,148.97797133165187,2.13763365917185,62.34540501926948,-0.07949292534238064,0.05421153105060684,70.23559738266039
