frame #,time (s),h (mm),up right noz dist (mm),up right sub dist (mm),up right Si dist (mm),up left noz dist (mm),up left sub dist (mm),up left Si dist (mm),up mid noz dist (mm),up mid sub dist (mm),up mid Si dist (mm),down right noz dist (mm),down right sub dist (mm),down right Si dist (mm),down left noz dist (mm),down left sub dist (mm),down left Si dist (mm),down mid noz dist (mm),down mid sub dist (mm),down mid Si dist (mm),up right outer radius (mm),up right inner radius (mm),up right Laplace pressure (Pa),up left outer radius (mm),up left inner radius (mm),up left Laplace pressure (Pa),up mid outer radius (mm),up mid inner radius (mm),up mid Laplace pressure (Pa),down right outer radius (mm),down right inner radius (mm),down right Laplace pressure (Pa),down left outer radius (mm),down left inner radius (mm),down left Laplace pressure (Pa),down mid outer radius (mm),down mid inner radius (mm),down mid Laplace pressure (Pa),up right to left pressure (Pa),up right to mid pressure (Pa),up left to mid pressure (Pa),down right to left pressure (Pa),down right to mid pressure (Pa),down left to mid pressure (Pa),SL contact angle (deg),BL contact angle (deg),SiL contact angle (deg),SL contact point channel dist (mm),SiL contact point nozzle dist (mm),Laplace pressure upstream to downstream
7212,158.90642524833393,0.13891818967645167,0.04417632796127417,0.10585731949132406,0.6702001452555079,,,,0.08456922495202354,0.06048401400308822,0.574143050933448,0.06483765382706141,0.03529973878382771,-0.3019911425184414,,,,0.05258846244151807,0.04521870062098494,-0.3477326160051366,-0.40539593253024836,0.1796858407788667,124.65444424494176,,0.1796858407788667,,-2.7603263669212112,0.1796858407788667,209.31639948869147,4.574147348669521e17,0.1796858407788667,223.89076304298067,,0.1796858407788667,,-0.7887097953030081,0.1796858407788667,172.88340870355046,,84.66195524374972,,,-51.00735433943021,,144.68124419595182,2.9898949662645746,19.17603861354522,0.03028661102568786,0.26949187634988486,-14.574363554289192
7213,158.92845886248375,0.1389779328725435,0.04856089280797158,0.09988429927917272,0.6381811138148212,,,,0.07650118913923,0.06838776706272658,0.5695689035847784,0.0603144906290429,0.17052900613332944,-0.10991142222817413,0.013411723798885488,0.084850059386967,-0.864645734758645,0.011564346147663204,0.09238558971065486,-0.6816798408118643,-0.384623866145488,0.17966832860913606,119.31689209018535,,0.17966832860913606,,-1.103760003830075,0.17966832860913606,187.46444477450646,4.574147348669521e17,0.17966832860913606,223.9125855482262,4.574147348669521e17,0.17966832860913606,223.9125855482262,0.5504625356586237,0.17966832860913606,296.99657836140676,,68.14755268432111,,0.,73.08399281318057,73.08399281318057,146.21285243320563,3.0415123657914807,20.83833687705728,0.016564168979679297,0.27282870188788305,-36.44814077371973
7214,158.95049247663354,0.1390376760686352,0.060239584081929386,0.0854343955654737,0.583291345630787,,,,0.08281213555420092,0.06025119914659535,0.5329757247954222,0.08100135884926293,0.19239017627834804,-0.08871347156379625,,,,0.03088153308655719,0.06182414579841864,-0.4500711121086884,-0.4031777888890752,0.17965085716013401,124.152079120712,,0.17965085716013401,,-2.380495338695276,0.17965085716013401,207.0345174936327,4.574147348669521e17,0.17965085716013401,223.93436154963896,,0.17965085716013401,,0.1576515425215603,0.17965085716013401,479.1174023023051,,82.8824383729207,,,255.18304075266613,,144.77658774020492,3.291435000290332,22.17221284027489,-0.01088071511233783,0.2747975341411543,-16.89984405600626
7215,158.97252609078333,127.32819316788529,0.047981851078907005,0.09847188791266026,0.5970137876767956,,,,0.08246182519740629,0.05948854616850174,0.5101049880520746,,,,,,,,,,-0.3790333533655977,,,,,,-5.579644047200548,,,,,,,,,,,,,,,,,,146.13498523832772,2.971381107019002,,-0.03832559920435495,,
7216,158.99455970493312,127.31513211157517,0.10367430471469628,0.035346551682141326,0.4523734929343697,,,,,,,,,,,,,,,,-0.3371223045227789,,,,,,,,,,,,,,,,,,,,,,,,147.3055450738429,2.9560331662214407,,-0.05204804125036352,,
7217,159.01659331908294,0.13921690565691056,0.05011354373019627,0.09560721078735092,0.5804496186971163,,,,0.0887826485644166,0.051636464931162356,0.47808595661138803,0.03793954119353078,0.07166188113785346,-0.12400399284265841,,,,0.07189373814495609,0.03484744177109442,-0.17889376102669266,-0.3733900232168004,0.179598686613255,116.25684281271641,,0.179598686613255,,0.647514797004271,0.179598686613255,286.12926520897815,4.574147348669521e17,0.179598686613255,223.99941090120913,,0.179598686613255,,-0.24941377277246857,0.179598686613255,62.7011812453015,,169.87242239626175,,,-161.29822965590762,,150.1894455707766,3.3945436030233056,22.357075821156936,-0.07949292534238064,0.2824535410076081,62.12985430776902
7218,159.03862693323273,0.13927664885300226,0.04229779339851141,0.10466614719581077,0.6033203554404639,,,,0.08718356972354228,0.05306275594073962,0.47351180926271846,0.010519184586152615,0.12049768072072749,-0.11905971692551265,,,,0.06922264846968222,0.032673470584188444,-0.27458072678027634,-0.3540857446830354,0.17958137752337294,110.40445327704678,,0.17958137752337294,,0.49366291258415773,0.17958137752337294,305.5138559454186,4.574147348669521e17,0.17958137752337294,224.02100125757175,,0.17958137752337294,,-0.5817216366106568,0.17958137752337294,154.86421308239557,,195.10940266837179,,,-69.15678817517619,,152.50198053923725,2.9898949662643304,21.006267700344647,-0.11151195678306729,0.28210410231500616,81.49285468784683
7219,159.06066054738253,0.13933639204909395,0.04575136214409707,0.1007985142167766,0.5941720607431248,,,,0.09208251040106259,0.04727858388225687,0.4552152198680404,0.035436851716239844,0.14563492673450576,-0.11658240436160809,,,,0.07036121997786905,0.025150484677952677,-0.40017953997911837,-0.385476114904957,0.17956410889277147,119.67810235190322,,0.17956410889277147,,0.3836088368470796,0.17956410889277147,328.91499904431697,4.574147348669521e17,0.17956410889277147,224.04254529519457,,0.17956410889277147,,-3.739877368120891,0.17956410889277147,213.2855080877918,,209.23689669241375,,,-10.75703720740276,,154.3533594629892,3.3172831706510912,19.389292651429304,-0.14810513557242347,0.28789416179350386,104.8724537491224
7220,159.08269416153232,0.13939613524518574,0.0417856458140711,0.10576772136079035,0.6124686501378029,0.10052710886952473,0.03184362343726552,0.31799079940795477,0.09226875281465999,0.04715183980204959,0.4552152198680404,0.06636303724674025,0.17751161353726616,-0.10000986087544923,,,,0.04606548880595183,0.048510932350971064,-0.4202001752823157,-0.41212378793513826,0.17954688066942975,126.44774140159431,-0.3969018841346669,0.17954688066942975,122.70398000246246,0.31198751487935134,0.17954688066942975,353.0115107584126,4.574147348669521e17,0.17954688066942975,224.06404305106756,,0.17954688066942975,,2.515056122889041,0.17954688066942975,240.05970996039596,-3.7437613991318557,226.56376935681828,230.30753075595015,,15.995666909328406,,169.81317186221037,2.7024338753976815,18.830489923944985,-0.2212914931511358,0.28605186728042836,128.94746770734506
7221,159.1047277756821,0.1394558784412775,0.03967490017530639,0.1093487858269384,0.63991353422982,0.09536355575770286,0.034258107494316604,0.26310103122392053,0.09967762921595762,0.03885443207521527,0.4369186304733623,0.05728877633474853,0.1682011800669312,-0.10554611745497204,0.06918599909082533,0.013308763654370644,-0.6563025858586538,0.05828470408970505,0.027354929097595387,-0.5952731648593096,-0.4636586835657384,0.17952969280141615,137.31908335077387,-0.12142282218023279,0.17952969280141615,-107.23607479062308,0.29465407191647813,0.17952969280141615,360.6184796261057,-0.16272537326904118,0.17952969280141615,-23.14085491121996,67.1908565602146,0.17952969280141615,224.68423674316938,66.4252085098292,0.17952969280141615,224.69113812584996,-244.55515814139693,223.29939627533182,467.8545544167288,247.82509165438933,247.83199303706994,0.0069013826805814915,152.57315250741226,2.621385126111134,17.83297969002646,-0.25788467194049197,0.2767510704074888,383.7593345373256
