frame #,time (s),h (mm),up right noz dist (mm),up right sub dist (mm),up right Si dist (mm),up left noz dist (mm),up left sub dist (mm),up left Si dist (mm),up mid noz dist (mm),up mid sub dist (mm),up mid Si dist (mm),down right noz dist (mm),down right sub dist (mm),down right Si dist (mm),down left noz dist (mm),down left sub dist (mm),down left Si dist (mm),down mid noz dist (mm),down mid sub dist (mm),down mid Si dist (mm),up right outer radius (mm),up right inner radius (mm),up right Laplace pressure (Pa),up left outer radius (mm),up left inner radius (mm),up left Laplace pressure (Pa),up mid outer radius (mm),up mid inner radius (mm),up mid Laplace pressure (Pa),down right outer radius (mm),down right inner radius (mm),down right Laplace pressure (Pa),down left outer radius (mm),down left inner radius (mm),down left Laplace pressure (Pa),down mid outer radius (mm),down mid inner radius (mm),down mid Laplace pressure (Pa),up right to left pressure (Pa),up right to mid pressure (Pa),up left to mid pressure (Pa),down right to left pressure (Pa),down right to mid pressure (Pa),down left to mid pressure (Pa),SL contact angle (deg),BL contact angle (deg),SiL contact angle (deg),SL contact point channel dist (mm),SiL contact point nozzle dist (mm),Laplace pressure upstream to downstream
4958,109.24265895469213,0.13707935860074139,0.04379315759661168,0.10237932723437729,0.630765239532481,0.11007911726794263,0.020900813548266062,0.33628738880263287,0.1000511829531809,0.0368077676281645,0.4506410725193709,0.07170629752332998,0.18262114593700982,-0.05953805471433283,,,,0.08186806982902359,0.0019876340176865604,-0.5831162282799408,-0.4628930491244866,0.180245045858142,136.2862237734781,-0.381596170681788,0.180245045858142,117.77056214216395,0.3820720445371553,0.180245045858142,328.4904261869349,-0.16352186067037294,0.180245045858142,-22.826003246556933,,0.180245045858142,,3.4591368570305088,0.180245045858142,234.82621728463192,-18.515661631314146,192.20420241345678,210.71986404477093,,257.65222053118885,,167.83433546735947,2.6568646449352116,34.9310364834763,-0.19384660905911866,0.14449987697007521,351.3164294334918
4959,109.26469256884194,0.13712991053589602,0.05059207554092545,0.09468348864807045,0.6124686501378029,0.10546722671147674,0.022988351909720744,0.28597176796726814,0.10284885276376218,0.03405697150901825,0.4506410725193709,0.06302345938293287,0.17372864720538014,-0.0643883141369019,,,,0.07283812958428498,0.00662196334592239,-0.6700250279046618,-0.4941826963866508,0.1802291424621174,141.80870307787325,-0.3474487513734029,0.1802291424621174,107.42898298396584,0.2949789290642444,0.1802291424621174,359.5984659223985,-0.14675195155217333,0.1802291424621174,-50.92020458447179,,0.1802291424621174,,-218767.1996718794,0.1802291424621174,223.2156592842792,-34.37972009390741,217.78976284452523,252.16948293843262,,274.135863868751,,165.24071943162627,2.5439490793053916,35.02895634329199,-0.25788467194049197,0.13971618532884703,410.51867050687025
4960,109.28672618299173,0.13718046247105056,0.044755652233908344,0.10222057128650568,0.6444876815784896,0.09831512324274362,0.02855797661698209,0.25395273652658146,0.1054156469763502,0.031771987952651015,0.4552152198680404,0.05811562677557885,0.16869399606003269,-0.06772033563525842,,,,0.07533662283601199,-0.0005219312809650493,-0.7615079748780519,-0.47541164268557057,0.18021326941584503,138.6141012928574,-0.2091033853681973,0.18021326941584503,30.842635951552197,0.2215346038271977,0.18021326941584503,404.8324160561937,-0.1527364407243238,0.18021326941584503,-40.15939921273455,,0.18021326941584503,,1.5315558303461387,0.18021326941584503,249.502910637018,-107.77146534130522,266.2183147633363,373.9897801046415,,289.66230984975255,,164.64151071794126,2.5439490793053916,33.33133707559921,-0.3082002927758567,0.13951507980434727,444.9918152689283
4961,109.30875979714153,0.1372310144062051,0.03520788855598753,0.11417777405179325,0.6902291550651848,0.09020786638977708,0.034145476816941335,0.20363711569121676,0.10896192248942456,0.02850623532018936,0.45978936721670993,0.05618363007912863,0.16667661208202778,-0.07032093373060845,0.07003298107881534,0.00014656697853311098,-0.8529909218514431,0.046134919372542355,0.028906262388237642,-0.7588265484243131,-0.45828797446218156,0.18019742668578487,135.47189753624332,-0.18512029017998213,0.18019742668578487,5.936974982457729,0.27582129462141036,0.18019742668578487,369.1104388769285,-0.15411714301800006,0.18019742668578487,-37.780074417345766,1.6456553187867788,0.18019742668578487,247.70131886329324,1.529054645680678,0.18019742668578487,249.56550470706554,-129.53492255378558,233.6385413406852,363.1734638944708,285.481393280639,287.3455791244113,1.8641858437723045,173.63630456725886,2.3790015202628263,34.44862849313323,-0.36766420830856045,0.13937143332334473,406.8905132942743
4962,109.33079341129132,0.13728156634135966,0.04872981088751811,0.09857692488818201,0.649061828927159,,,,0.11458570841214637,0.023160240865821462,0.46436351456537944,0.0538776845048033,0.1644916787915173,-0.06888821507380082,0.06305606009910501,0.002490544408790454,-0.944473868824833,0.014045810048405336,0.06596107220395139,-0.6638288541992157,-0.44340816327998156,0.18018161423844647,132.54567614614427,,0.18018161423844647,,0.22513617098681224,0.18018161423844647,401.9665778569589,-0.1475927220889605,0.18018161423844647,-49.29969285056793,-7.344588386871704,0.18018161423844647,217.79722062153,1.6414676227366152,0.18018161423844647,247.78327824821437,,269.42090171081463,,267.0969134720979,297.0829710987823,29.986057626684385,179.6260255452536,2.931463086957274,33.14798752810691,-0.07491877799371112,0.1387239907591983,451.2662707075268
4963,109.35282702544112,0.1373321182765143,0.04231827911766608,0.10668987211481179,0.6810808603678458,0.0802322069794506,0.039308053791696496,0.10758002136915681,0.11968159844476901,0.015996502149178162,0.42319618842735374,0.04857064885915852,0.15916367803619774,-0.07014640611125636,0.06311310217666881,-0.00033162177569610245,-0.9993636370088675,0.025517996703116833,0.045984990294986115,-0.8303026224496317,-0.4557139520894836,0.1801658320403886,135.01521991587984,-0.2352115186105951,0.1801658320403886,52.256739380756535,0.2745548831636174,0.1801658320403886,369.82236182983803,-0.14585147162875028,0.1801658320403886,-52.53426903806692,1.9079924673611925,0.1801658320403886,244.37927031179103,1.4782591973337673,0.1801658320403886,250.50872395958416,-82.75848053512331,234.8071419139582,317.5656224490815,296.91353934985796,303.0429929976511,6.129453647793127,164.917180300096,2.249943809339995,32.93432822366186,-0.4682954499792899,0.1347536227315281,422.3566308679049
4964,109.37486063959092,0.13738267021166883,0.04666958938081513,0.10191412604926266,0.6719325656705066,,,,0.1202361899337178,0.0183073344906259,0.47808595661138803,0.04131195880733791,0.151505259284077,-0.07873852029586118,,,,0.06040464512427524,-0.0022617202468968303,-1.0908465839822576,-0.44041508521772077,0.18015008005821928,131.96816090016736,,0.18015008005821928,,0.18744616555168392,0.18015008005821928,437.9354273674807,-0.15392406517347504,0.18015008005821928,-38.04883394485302,,0.18015008005821928,,1.106164635481605,0.18015008005821928,259.6827139649368,,305.9672664673134,,,297.7315479097898,,179.99800383690092,2.6219253234572313,28.600102816725645,-0.08406707269105017,0.14537865314569406,475.98426131233373
4965,109.39689425374071,0.13743322214682338,0.042172589135410145,0.10787539119561514,0.6993774497625238,0.06553047881568431,0.04826437944922557,-0.006773662347581212,0.12442953425436198,0.014159028894694798,0.47808595661138803,0.032149946750322796,0.14168978626091408,-0.09222832737253135,,,,0.055729481531164235,-0.0022225264447985615,-1.182329530955648,-0.4296724558078612,0.1801343582585957,129.7038362953408,-0.21819094002014466,0.1801343582585957,38.95350489117772,0.23637502172229102,0.1801343582585957,393.5289442918236,-0.17960496748438773,0.1801343582585957,-0.6582812728998312,,0.1801343582585957,,1.274092520009857,0.1801343582585957,254.908711209235,-90.75033140416309,263.8251079964828,354.5754394006459,,255.56699248213485,,161.76693863588545,1.3516159510950316,30.168037374114068,-0.5872232810446975,0.14586156940350894,394.18722556472346
4966,109.41892786789052,0.13748377408197798,0.043725356566308424,0.10628226873056851,0.697645029347525,,,,0.10510085784059585,0.03755243781991133,0.5558464615387698,0.020182826142816968,0.1287979853562622,-0.11093362172658452,,,,0.04847422065000635,0.0006347902555096658,-1.269238330580369,-0.4696862116921768,0.180118666608224,137.69982315365863,,0.180118666608224,,0.8409257875778459,0.180118666608224,271.1928838936714,-0.20943418625767937,0.180118666608224,31.263768955779764,,0.180118666608224,,1.5639154819529903,0.180118666608224,249.07664920701012,,133.4930607400128,,,217.81288025123035,,155.27561119389296,2.4730858272994376,31.45919942925747,0.02571246367701834,0.14880154229551928,239.92911493789165
4967,109.44096148204031,0.13753432601713247,0.050171051780507965,0.09823621701342226,0.6656259979068384,,,,0.08848973904388936,0.055174481745720476,0.574143050933448,0.0005949212503844401,0.10772440278064664,-0.1403801577920462,0.04212852088098053,0.0025813499958285886,-1.3561471302050903,0.004413728904334835,0.051663048895328995,-1.1355174555565202,-0.45960983685303486,0.18010300507385937,135.84141153283272,,0.18010300507385937,,-1.269336068582198,0.18010300507385937,191.6784409559786,-0.23952540291163268,0.18010300507385937,55.415041987829476,2.2557423311796305,0.18010300507385937,241.20665895343475,2.152155834267346,0.18010300507385937,242.06505947852705,,55.83702942314588,,185.79161696560527,186.65001749069756,0.8584005250922928,148.38848053559826,2.6708181055898996,29.534330526291445,0.03028661102568786,0.15880071693992212,136.26339896814912
