frame #,time (s),h (mm),up right noz dist (mm),up right sub dist (mm),up right Si dist (mm),up left noz dist (mm),up left sub dist (mm),up left Si dist (mm),up mid noz dist (mm),up mid sub dist (mm),up mid Si dist (mm),down right noz dist (mm),down right sub dist (mm),down right Si dist (mm),down left noz dist (mm),down left sub dist (mm),down left Si dist (mm),down mid noz dist (mm),down mid sub dist (mm),down mid Si dist (mm),up right outer radius (mm),up right inner radius (mm),up right Laplace pressure (Pa),up left outer radius (mm),up left inner radius (mm),up left Laplace pressure (Pa),up mid outer radius (mm),up mid inner radius (mm),up mid Laplace pressure (Pa),down right outer radius (mm),down right inner radius (mm),down right Laplace pressure (Pa),down left outer radius (mm),down left inner radius (mm),down left Laplace pressure (Pa),down mid outer radius (mm),down mid inner radius (mm),down mid Laplace pressure (Pa),up right to left pressure (Pa),up right to mid pressure (Pa),up left to mid pressure (Pa),down right to left pressure (Pa),down right to mid pressure (Pa),down left to mid pressure (Pa),SL contact angle (deg),BL contact angle (deg),SiL contact angle (deg),SL contact point channel dist (mm),SiL contact point nozzle dist (mm),Laplace pressure upstream to downstream
2323,51.18408566997778,0.13494181154457235,0.05006973484095252,0.09207988342357261,0.5941720607431248,,,,0.10181681508203366,0.032433000232695346,0.44149277782203183,0.05434480391887229,0.16403054359675456,-0.0413831792076744,0.07632446336085102,0.0014122137525340553,-0.660876733207323,0.03822121663206443,0.048541602581636825,-0.48588991413253,-0.45089743032392654,0.1809457422572118,133.10977565353053,,0.1809457422572118,,0.4884280749422109,0.1809457422572118,304.6981136849453,-0.2725025413397137,0.1809457422572118,74.70019030810214,3.2786074021076677,0.1809457422572118,234.60229461565518,2.1530451805248148,0.1809457422572118,241.0170039486091,,171.5883380314148,,159.90210430755303,166.31681364050695,6.414709332953919,164.88207009903925,1.3955952279173747,58.448386880759806,-0.13438269352641488,0.074238382726466,229.99792337684318
2324,51.206119284127574,0.13498317221878975,0.048299120395996785,0.09436345330370613,0.6033203554404639,,,,0.09917550378608186,0.03605767855576911,0.45978936721670993,0.05315935375635449,0.16276134422747474,-0.04379179552242279,,,,0.07257034146386082,0.0019277641785175078,-0.724914796088696,-0.4273138029246171,0.18093165236580552,128.20288646588662,,0.18093165236580552,,0.35520495212099845,0.18093165236580552,335.60771101898865,-0.2623285029457388,0.18093165236580552,68.99182031517272,,0.18093165236580552,,1.4062680157046812,0.18093165236580552,250.95678841277024,,207.40482455310203,,,181.96496809759753,,165.22057504355266,1.088241852550291,57.26760985856982,-0.15267928292109298,0.07568825335208369,266.6158907038159
2325,51.22815289827737,0.13502453289300703,0.03995318552045552,0.10463878905713155,0.63991353422982,0.11005787493287858,0.018867258104011478,0.33628738880263287,0.1028192410329046,0.03198124452908763,0.4506410725193709,0.050838901250575066,0.16039545852968032,-0.045424355059105866,,,,0.06671499912171162,0.004469214958090046,-0.7904750703740432,-0.4752349852152857,0.18091758377601108,137.71358673009144,-0.2965847260207215,0.18091758377601108,86.72223821594582,0.30657770065011786,0.18091758377601108,353.5892965398611,-0.2624923178995102,0.18091758377601108,69.10481723827473,,0.18091758377601108,,1.3193440902695905,0.18091758377601108,252.85886977210026,-50.99134851414561,215.87570980976966,266.8670583239153,,183.75405253382553,,165.39571889294172,1.1115297889112155,57.39381411069011,-0.1801241670131101,0.0744169111270384,284.48447930158636
2326,51.25018651242717,0.13506589356722443,0.04611590793022807,0.09780542460466396,0.6261910921838114,0.10473608755761914,0.022829602464466706,0.30884250471061575,0.10515244016865805,0.029451705067381734,0.44606692517070134,0.05063121397414868,0.1602081316534894,-0.045828429391807216,,,,0.05679023043586915,0.011922715873540777,-0.8397128089910393,-0.47520391760518726,0.18090353646825919,137.72531928046908,-0.33674094520043907,0.18090353646825919,102.91502104546969,0.2483325672180732,0.18090353646825919,384.3842120317832,-0.27897292137409685,0.18090353646825919,78.17616766019403,,0.18090353646825919,,1.2964763508039294,0.18090353646825919,253.41397360607735,-34.810298234999394,246.6588927513141,281.4691909863135,,175.23780594588334,,167.83859540125638,1.2109217588724626,57.55206217172958,-0.23958808254581387,0.07419636135053115,306.20804437158915
2327,51.27222012657697,0.13510725424144182,0.03874973722998089,0.1068650746147887,0.6582101236244982,0.10354795448118075,0.02312212463424819,0.29054591531593765,0.10912984772680898,0.025275795455943367,0.44149277782203183,0.044771881753460016,0.1542034952749219,-0.04931725536486906,,,,0.042746457046685275,0.022060337988090158,-0.9170289847328159,-0.4962887045617156,0.1808895104230044,141.3392679882801,-0.1842805451270157,0.1808895104230044,4.09250666462506,0.2916775995959085,0.1808895104230044,360.327214230368,-0.16265357074099598,0.1808895104230044,-24.934530459284975,,0.1808895104230044,,-898669.8546832184,0.1808895104230044,222.40091096600548,-137.24676132365505,218.98794624208787,356.23470756574295,,247.33544142529047,,168.7392870636435,1.0654051058903815,57.42541991150245,-0.2624588192891615,0.07382549456395712,385.26174468965297
2328,51.29425374072677,0.13514861491565924,0.04287662336883156,0.1023048564748067,0.649061828927159,0.10156644243586344,0.023739802029012293,0.26310103122392053,0.11005645052461273,0.024858601919874896,0.4506410725193709,0.05650494666977325,0.16667920550883147,-0.03594653378359928,0.05896598074099273,0.003514516101811389,-0.9627704582195113,0.021113934808861118,0.0522209628422064,-0.7521355401069326,-0.42197441856068046,0.18087550562072538,127.0806428905358,-0.1905800534512172,0.18087550562072538,11.325780352954496,0.27034536933717673,0.18087550562072538,371.2278265370395,-0.21826250491822993,0.18087550562072538,38.098839670340915,3.2397259564684786,0.18087550562072538,234.83589273471281,1.4416220066738274,0.18087550562072538,250.32424254804826,-115.7548625375813,244.14718364650372,359.902046184085,196.7370530643719,212.22540287770735,15.488349813335446,167.9876115550609,1.042054926578148,56.922352854111004,-0.2853295560325091,0.07380144062440434,333.1289868666986
2329,51.316287354876565,0.13518997558987664,0.039077032613480514,0.10732397052872432,0.6719325656705066,0.09565439293642578,0.027823917721345133,0.22650785243456437,0.1145273814597776,0.02065778691124459,0.4552152198680404,0.055844575582930184,0.16619322779758355,-0.03333615302729514,0.05672526374830714,0.0020454050294476172,-1.0359568157982237,0.02342892751725081,0.043994558040794975,-0.8681247186457409,-0.46383674861026825,0.18086152204192457,135.70227041609533,-0.15290733748313365,0.18086152204192457,-40.66514762175746,0.25046942215583784,0.18086152204192457,383.0537809959093,-0.22911928249967098,0.18086152204192457,46.84997613166527,1.8297310291381679,0.18086152204192457,244.42221050686945,1.4068537309738094,0.18086152204192457,251.03109564420956,-176.3674180378528,247.35151057981395,423.71892861766673,197.57223437520418,204.18111951254429,6.60888513734011,159.92568320628888,0.9448478642423139,57.61551478355401,-0.3036261454271872,0.07064337320350583,336.20380486424403
2330,51.338320969026356,0.1352313362640939,0.030918149763504262,0.11764664174993157,0.7130998918085324,0.09029218074530115,0.031122839784833923,0.18534052629653866,0.11940279745267278,0.01558268820611763,0.4506410725193709,0.050954673944053015,0.16115325758712584,-0.03694270801734645,,,,0.054401556494354374,0.0006593933300145206,-1.1091431733769357,-0.4353302143285553,0.18084755966712834,130.03993855284585,-0.14996822877629395,0.18084755966712834,-45.804273457362235,0.289954795631386,0.18084755966712834,361.1983107485026,-0.1941462146606858,0.18084755966712834,15.237586066514687,,0.18084755966712834,,1.0563481556082988,0.18084755966712834,260.5365804019307,-175.84421201020808,231.15837219565674,407.0025842058648,,245.29899433541598,,157.95320635584437,0.9426218389676239,56.7974603421947,-0.34479347156521284,0.06960123278545638,345.9607246819879
2331,51.360354583176154,0.13527269693831132,0.040016165341531226,0.10717022468335548,0.6856550077165152,0.08484290583500148,0.03427430561294815,0.13959905280984347,0.1196632492748846,0.01677105515133515,0.47808595661138803,0.044082800518845444,0.15404350866470273,-0.042210247577324736,,,,0.048726505569857866,0.0028637649094922024,-1.1777553836069785,-0.4822212082781319,0.1808336184768867,139.0432525882665,-0.15697060330187781,0.1808336184768867,-33.820330704708255,0.215308954382402,0.1808336184768867,409.3174746334761,-0.15565104988574133,0.1808336184768867,-35.9930650329757,,0.1808336184768867,,1.1411193938860593,0.1808336184768867,257.7245513645436,-172.86358329297477,270.27422204520957,443.1378053381843,,293.7176163975193,,155.87823416482428,0.8790542388078202,55.35604248171006,-0.39053494505190806,0.06930151393437878,445.3105396664518
2332,51.38238819732595,0.1353140576125287,0.034792164170270555,0.11385025532100025,0.7130998918085324,0.07960713172448919,0.03815052362249085,0.11215416871782634,0.12464516942237266,0.012058579105974956,0.48266010396005754,0.03658986646539721,0.14632119362854565,-0.04729626934593289,,,,0.04428107395278126,0.0033676336953651674,-1.2555158885343602,-0.45858146233943636,0.18081969845177365,134.7597691969998,-0.16562433476397778,0.18081969845177365,-20.412267167808103,0.20927953545763311,0.18081969845177365,414.71775293405227,-0.15358916975176676,0.18081969845177365,-39.44570956447154,,0.18081969845177365,,1.3202098474697677,0.18081969845177365,252.95925001076571,-155.1720363648079,279.9579837370525,435.1300201018604,,292.4049595752373,,159.63061966971287,0.7389877363608108,53.37430423590644,-0.4362764185386033,0.06860525114888713,454.1634624985238
