frame #,time (s),h (mm),up right noz dist (mm),up right sub dist (mm),up right Si dist (mm),up left noz dist (mm),up left sub dist (mm),up left Si dist (mm),up mid noz dist (mm),up mid sub dist (mm),up mid Si dist (mm),down right noz dist (mm),down right sub dist (mm),down right Si dist (mm),down left noz dist (mm),down left sub dist (mm),down left Si dist (mm),down mid noz dist (mm),down mid sub dist (mm),down mid Si dist (mm),up right outer radius (mm),up right inner radius (mm),up right Laplace pressure (Pa),up left outer radius (mm),up left inner radius (mm),up left Laplace pressure (Pa),up mid outer radius (mm),up mid inner radius (mm),up mid Laplace pressure (Pa),down right outer radius (mm),down right inner radius (mm),down right Laplace pressure (Pa),down left outer radius (mm),down left inner radius (mm),down left Laplace pressure (Pa),down mid outer radius (mm),down mid inner radius (mm),down mid Laplace pressure (Pa),up right to left pressure (Pa),up right to mid pressure (Pa),up left to mid pressure (Pa),down right to left pressure (Pa),down right to mid pressure (Pa),down left to mid pressure (Pa),SL contact angle (deg),BL contact angle (deg),SiL contact angle (deg),SL contact point channel dist (mm),SiL contact point nozzle dist (mm),Laplace pressure upstream to downstream
3259,71.80754851418752,128.10670909198672,0.056655239732908966,0.08599141592756823,0.592439640328126,,,,0.11033043726797234,0.02567591301213232,0.46436351456537944,,,,,,,,,,-0.463067395391243,,,,,,7.260383906064887,,,,,,,,,,,,,,,,,,153.48940708721688,2.1402902135289774,18.127737941199907,-0.033751451855685434,0.14658899358749872,
3260,71.82958212833731,0.1355869246497559,0.05314280760061833,0.08964788343862129,0.5941720607431248,,,,0.09204782878227728,0.04544091106335771,0.49180839865739656,,,,0.0863338006366632,0.016915030540745484,-0.1758405260471686,0.12779286967053832,0.23991501409020494,-0.008344728880309548,-0.4583896296120407,0.1807283934736948,134.83545762893695,,0.1807283934736948,,1.2061155736711913,0.1807283934736948,255.95423568417613,,0.1807283934736948,,-0.29485720511936253,0.1807283934736948,86.16029853638607,-0.9597644910285832,0.1807283934736948,180.68269017299787,,121.11877805523918,,,,94.5223916366118,155.87250706075898,2.283483438279065,27.638247879409967,-0.056622188599033035,0.12220382966623226,
3261,71.8516157424871,0.13563747658491052,0.052956594185885913,0.08965026019259555,0.5895979133944553,0.10798789045065699,0.026480209625911282,0.4323444831246928,0.0919807806225145,0.045089332469042925,0.48266010396005754,0.0340291490721277,0.1427457169309476,-0.07331824343881796,,,,0.045023744819372095,0.05819231936868467,-0.17852363245821695,-0.4659154643560792,0.18071157871929855,136.27379961465527,-1.8246213413454078,0.18071157871929855,200.57152519469588,0.792903357274,0.18071157871929855,273.3575186330596,4.574147348669521e17,0.18071157871929855,222.6199355077836,,0.18071157871929855,,-0.6348580350519127,0.18071157871929855,159.25143770384486,64.2977255800406,137.08371901840434,72.78599343836373,,-63.36849780393874,,159.7060371927716,2.2834834382787457,38.33730987667827,-0.08406707269105017,0.11030171844181832,50.73758312527602
3262,71.8736493566369,0.13568802852006515,0.051666515059485114,0.09122722080955337,0.5941720607431248,,,,0.09522112591951493,0.04119137859325682,0.46893766191404895,0.07921510071799517,0.19009135578520847,-0.03335908945648092,0.07731404526027803,0.018273244338402994,-0.3274034520860302,0.04762711749350613,0.05221199322912906,-0.24527566785629715,-0.4675524546347463,0.18069479532754312,136.59679140290228,,0.18069479532754312,,0.6299878406892057,0.18069479532754312,286.4989883683854,-0.19957813281643422,0.18069479532754312,21.065423225132434,-1.288461064777772,0.18069479532754312,191.41731795222466,-1.2993738703992852,0.18069479532754312,191.67954713631448,,149.90219696548314,,170.35189472709223,170.61412391118205,0.26222918408981855,162.1789288306603,1.8998819312695103,43.275442074397745,-0.10236366208572825,0.10786790934633925,265.43356514325296
3263,71.8956829707867,0.1357385804552196,0.053870915181929165,0.0886012075404462,0.5850237660457858,,,,0.09836878857319455,0.03715159579505176,0.4506410725193709,0.07320378392468253,0.18374698652640667,-0.04068333063871463,0.08592123628357003,0.0026888294390827465,-0.4641883972145333,0.0388238225725046,0.05824798387366566,-0.3004350368122238,-0.5551139836582749,0.18067804326338816,150.1896531914088,,0.18067804326338816,,0.5031749735142278,0.18067804326338816,302.6135628380906,-0.20534044633529047,0.18067804326338816,26.742717939294774,-3.48837283029888,0.18067804326338816,211.12865819032606,-5.859633950580358,0.18067804326338816,215.79563917353903,,152.4239096466818,,184.3859402510313,189.05292123424425,4.666980983212966,163.47285749759456,2.2834834382787457,48.14103279790073,-0.12980854617774537,0.10426668072584955,275.87084489879584
3264,71.9177165849365,0.13578913239037424,0.04667219053548048,0.09750238260757134,0.6170427974864724,,,,0.096130826039786,0.04014695289218832,0.46436351456537944,0.07097454620184591,0.1816003071870218,-0.04000223175219497,,,,0.0842444938406657,0.001602727272808981,-0.5190781653985675,-0.5136912276543562,0.1806613224918454,144.36633521008628,,0.1806613224918454,,0.45760548416751745,0.1806613224918454,310.59601992128444,-0.16372954273237297,0.1806613224918454,-23.028222094314312,,0.1806613224918454,,2.606059560731019,0.1806613224918454,238.11896296517293,,166.22968471119816,,,261.14718505948724,,165.1615283144615,2.283483438279065,48.678253953578206,-0.15267928292109298,0.10192254369321867,333.6242420155987
3265,71.93975019908629,0.13583968432552884,0.04379315759661168,0.10113965295916474,0.630765239532481,0.11075244487554449,0.01898692640621396,0.33628738880263287,0.09856750136692294,0.03752299245444204,0.45978936721670993,0.0676007931052243,0.17799694183781606,-0.045377522935717486,,,,0.07678501652901416,0.005837696000138545,-0.5831162282799408,-0.46567219607341404,0.18064463297797884,136.31119370318612,-0.36089838344124897,0.18064463297797884,111.23061602163737,0.37790033226499486,0.18064463297797884,329.1590780116334,-0.16176145539857337,0.18064463297797884,-25.997105771463705,,0.18064463297797884,,-24949.10916232428,0.18064463297797884,222.70082454433393,-25.080577681548746,192.8478843084473,217.92846198999604,,248.69793031579763,,166.1905489007381,1.7459855248683143,49.665984525449815,-0.1801241670131101,0.10291896519195905,355.1561837830971
3266,71.96178381323608,0.13589023626068333,0.05073435588990629,0.09330134696041503,0.6124686501378029,0.10484107427331173,0.023314186990185178,0.30426835736194624,0.10441146230648961,0.030314099564132214,0.4323444831246928,0.06186738768079358,0.1720346941785143,-0.050677322648201566,,,,0.07181444946383383,0.00731619937242919,-0.6523064493652513,-0.4198180051401938,0.1806279746869044,126.89573735676046,-0.38609878035969913,0.1806279746869044,118.52684226825828,0.30187326408471155,0.1806279746869044,355.9908227008984,-0.1814941185704342,0.1806279746869044,1.0629002447154055,,0.1806279746869044,,1.6469635407331482,0.1806279746869044,247.1497458443526,-8.368895088502185,229.0950853441379,237.46398043264008,,246.0868455996372,,169.8159042553159,1.7723068049849482,50.91400386167063,-0.25331052459182246,0.09881246093339158,354.92792245618296
3267,71.98381742738589,0.13594078819583796,0.051591443962335,0.0929629508053263,0.621616944835142,0.09875042256148851,0.027117064132591934,0.258526883875251,0.10526940163553514,0.030678751294698804,0.4552152198680404,0.05787360596585008,0.16802492032307606,-0.05187222622888086,0.07208283195688625,0.0017310966735266742,-0.7569338275293832,0.05264387372816026,0.024931036510530503,-0.6841122294575448,-0.5678245442645226,0.18061134758378977,151.89412929128076,-0.19865316636539007,0.18061134758378977,20.229717782249825,0.2319332743137304,0.18061134758378977,396.19853945898507,-0.1893624379763856,0.18061134758378977,10.293743280839752,1.597732482114427,0.18061134758378977,247.9229137720483,1.5323928113473908,0.18061134758378977,248.99653923709124,-131.66441150903094,244.3044101677043,375.9688216767352,237.62917049120855,238.7027959562515,1.0736254650429373,169.0912924715719,1.7451185031306038,51.890339925198894,-0.3036261454271872,0.09413896699413714,385.9047961781453
3268,72.00585104153568,0.13599134013099243,0.051591443962335,0.09301350274048077,0.621616944835142,0.09875042256148851,0.027167616067746418,0.258526883875251,0.10526940163553514,0.03072930322985329,0.4552152198680404,0.05787360596585008,0.16807547225823055,-0.05187222622888086,0.07208283195688625,0.00178164860868116,-0.7569338275293832,0.05264387372816026,0.024981588445684988,-0.6841122294575448,-0.5678245442645226,0.1805947516338547,151.91459854412938,-0.19865316636539007,0.1805947516338547,20.25018703509846,0.2319332743137304,0.1805947516338547,396.21900871183374,-0.1893624379763856,0.1805947516338547,10.314212533688389,1.597732482114427,0.1805947516338547,247.94338302489692,1.5323928113473908,0.1805947516338547,249.01700848993988,-131.6644115090309,244.30441016770436,375.9688216767353,237.62917049120853,238.7027959562515,1.0736254650429657,169.0912924715719,1.7451185031306038,51.890339925198894,-0.3036261454271872,0.09413896699413714,385.9047961781454
