x,y,position
0,-5,-108.5795917
1.784722746,-5,-126.8761811
3.569445492,-5,-126.8761811
5.354168238,-5,-117.7278864
7.138890985,-5,-117.7278864
8.923613731,-5,-117.7278864
10.70833648,-5,-117.7278864
12.49305922,-5,-117.7278864
14.27778197,-5,-117.7278864
16.06250472,-5,-117.7278864
17.84722746,-5,-117.7278864
19.63195021,-5,-117.7278864
21.41667295,-5,-117.7278864
23.2013957,-5,-117.7278864
24.98611845,-5,-117.7278864
26.77084119,-5,-117.7278864
28.55556394,-5,-122.3020338
30.34028668,-5,-122.3020338
32.12500943,-5,-122.3020338
33.90973218,-5,-122.3020338
35.69445492,-5,-122.3020338
37.47917767,-5,-122.3020338
39.26390041,-5,-122.3020338
41.04862316,-5,-117.7278864
42.83334591,-5,-117.7278864
44.61806865,-5,-122.3020338
46.4027914,-5,-117.7278864
48.18751415,-5,-117.7278864
49.97223689,-5,-117.7278864
51.75695964,-5,-117.7278864
53.54168238,-5,-117.7278864
55.32640513,-5,-117.7278864
57.11112788,-5,-117.7278864
58.89585062,-5,-117.7278864
62.46529611,-5,-122.3020338
64.25001886,-5,-117.7278864
66.03474161,-5,-117.7278864
67.81946435,-5,-113.1537391
69.6041871,-5,-117.7278864
71.38890985,-5,-122.3020338
0,-10,-126.8761811
1.784722746,-10,-131.4503285
3.569445492,-10,-136.0244758
5.354168238,-10,-126.8761811
7.138890985,-10,-136.0244758
8.923613731,-10,-126.8761811
10.70833648,-10,-131.4503285
12.49305922,-10,-126.8761811
14.27778197,-10,-126.8761811
16.06250472,-10,-126.8761811
17.84722746,-10,-126.8761811
19.63195021,-10,-126.8761811
21.41667295,-10,-131.4503285
23.2013957,-10,-154.3210652
24.98611845,-10,-131.4503285
26.77084119,-10,-131.4503285
28.55556394,-10,-136.0244758
30.34028668,-10,-131.4503285
33.90973218,-10,-131.4503285
35.69445492,-10,-131.4503285
37.47917767,-10,-136.0244758
39.26390041,-10,-145.1727705
41.04862316,-10,-145.1727705
42.83334591,-10,-140.5986232
44.61806865,-10,-140.5986232
46.4027914,-10,-113.1537391
48.18751415,-10,-131.4503285
49.97223689,-10,-136.0244758
51.75695964,-10,-158.8952126
53.54168238,-10,-136.0244758
55.32640513,-10,-136.0244758
57.11112788,-10,-136.0244758
58.89585062,-10,-140.5986232
60.68057337,-10,-145.1727705
62.46529611,-10,-136.0244758
64.25001886,-10,-140.5986232
66.03474161,-10,-145.1727705
67.81946435,-10,-136.0244758
69.6041871,-10,-136.0244758
71.38890985,-10,-145.1727705
73.17363259,-10,-145.1727705
74.95835534,-10,-140.5986232
76.74307808,-10,-136.0244758
78.52780083,-10,-136.0244758
80.31252358,-10,-136.0244758
82.09724632,-10,-136.0244758
83.88196907,-10,-136.0244758
85.66669181,-10,-145.1727705
87.45141456,-10,-140.5986232
89.23613731,-10,-136.0244758
91.02086005,-10,-136.0244758
92.8055828,-10,-145.1727705
94.59030555,-10,-145.1727705
0,-15,-131.4503285
1.784722746,-15,-131.4503285
3.569445492,-15,-140.5986232
5.354168238,-15,-126.8761811
7.138890985,-15,-126.8761811
8.923613731,-15,-126.8761811
10.70833648,-15,-126.8761811
12.49305922,-15,-126.8761811
14.27778197,-15,-131.4503285
16.06250472,-15,-131.4503285
17.84722746,-15,-145.1727705
19.63195021,-15,-131.4503285
21.41667295,-15,-131.4503285
23.2013957,-15,-136.0244758
24.98611845,-15,-140.5986232
26.77084119,-15,-154.3210652
28.55556394,-15,-136.0244758
30.34028668,-15,-140.5986232
32.12500943,-15,-158.8952126
