x,y,position
43.82485854,-40,-136.0244758
46.4027914,-40,-136.0244758
48.98072425,-40,-136.0244758
51.55865711,-40,-140.5986232
54.13658997,-40,-140.5986232
56.71452282,-40,-140.5986232
59.29245568,-40,-145.1727705
61.87038853,-40,-158.8952126
64.44832139,-40,-145.1727705
67.02625424,-40,-145.1727705
69.6041871,-40,-149.7469179
72.18211995,-40,-168.0435073
74.76005281,-40,-154.3210652
77.33798567,-40,-154.3210652
79.91591852,-40,-154.3210652
82.49385138,-40,-172.6176546
85.07178423,-40,-154.3210652
87.64971709,-40,-158.8952126
90.22764994,-40,-158.8952126
92.8055828,-40,-158.8952126
95.38351565,-40,-163.4693599
0,-45,-117.7278864
2.577932856,-45,-99.43129704
5.155865711,-45,-108.5795917
7.733798567,-45,-113.1537391
10.31173142,-45,-108.5795917
12.88966428,-45,-108.5795917
15.46759713,-45,-113.1537391
18.04552999,-45,-113.1537391
20.62346284,-45,-113.1537391
23.2013957,-45,-122.3020338
25.77932856,-45,-117.7278864
28.35726141,-45,-117.7278864
30.93519427,-45,-122.3020338
33.51312712,-45,-126.8761811
36.09105998,-45,-126.8761811
38.66899283,-45,-131.4503285
41.24692569,-45,-131.4503285
43.82485854,-45,-131.4503285
46.4027914,-45,-131.4503285
48.98072425,-45,-136.0244758
51.55865711,-45,-136.0244758
54.13658997,-45,-136.0244758
56.71452282,-45,-140.5986232
59.29245568,-45,-140.5986232
61.87038853,-45,-145.1727705
64.44832139,-45,-145.1727705
67.02625424,-45,-149.7469179
69.6041871,-45,-149.7469179
72.18211995,-45,-154.3210652
74.76005281,-45,-149.7469179
77.33798567,-45,-158.8952126
79.91591852,-45,-154.3210652
82.49385138,-45,-154.3210652
85.07178423,-45,-154.3210652
87.64971709,-45,-154.3210652
90.22764994,-45,-154.3210652
92.8055828,-45,-158.8952126
95.38351565,-45,-158.8952126
